NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,1,1,0.09003602354877224
WHO,1,1,0.0219443745754375
MIX,1,1,0.0032023205061591275
IND,1,1,0.009638786958824112
PAK,1,1,0.008288803841085584
BAN,1,1,0.005130854731535283
CHI,1,1,0.015498059929868056
OAS,1,1,0.00793890559968944
BLA,1,1,0.0037701524727042817
BLC,1,1,0.0008054488696805203
OBL,1,1,0.0003183711496929279
OTH,1,1,0.006413113653776678
WBI,1,2,0.0005561414142610019
WHO,1,2,0.00013554769558260244
MIX,1,2,1.9780338857897437e-05
IND,1,2,5.9537598394015677e-05
PAK,1,2,5.119891915502317e-05
BAN,1,2,3.1692656942119045e-05
CHI,1,2,9.572960497338704e-05
OAS,1,2,4.9037640867204416e-05
BLA,1,2,2.3287766890477753e-05
BLC,1,2,4.975158340443584e-06
OBL,1,2,1.966539330273882e-06
OTH,1,2,3.961301217724128e-05
WBI,1,3,0.0097161176491481
WHO,1,3,0.0023680979757666467
MIX,1,3,0.0003455741553409134
IND,1,3,0.0010401568660601624
PAK,1,3,0.0008944752346495207
BAN,1,3,0.0005536893595181967
CHI,1,3,0.0016724525104174152
OAS,1,3,0.0008567164316211669
BLA,1,3,0.00040685098626305245
BLC,1,3,8.691894277127939e-05
OBL,1,3,3.435659888772608e-05
OTH,1,3,0.0006920626245082746
WBI,1,4,0.0
WHO,1,4,0.0
MIX,1,4,0.0
IND,1,4,0.0
PAK,1,4,0.0
BAN,1,4,0.0
CHI,1,4,0.0
OAS,1,4,0.0
BLA,1,4,0.0
BLC,1,4,0.0
OBL,1,4,0.0
OTH,1,4,0.0
WBI,1,5,0.0
WHO,1,5,0.0
MIX,1,5,0.0
IND,1,5,0.0
PAK,1,5,0.0
BAN,1,5,0.0
CHI,1,5,0.0
OAS,1,5,0.0
BLA,1,5,0.0
BLC,1,5,0.0
OBL,1,5,0.0
OTH,1,5,0.0
WBI,1,6,0.0
WHO,1,6,0.0
MIX,1,6,0.0
IND,1,6,0.0
PAK,1,6,0.0
BAN,1,6,0.0
CHI,1,6,0.0
OAS,1,6,0.0
BLA,1,6,0.0
BLC,1,6,0.0
OBL,1,6,0.0
OTH,1,6,0.0
WBI,1,7,0.011011600002367854
WHO,1,7,0.0026838443725355245
MIX,1,7,0.00039165070938636866
IND,1,7,0.0011788444482015105
PAK,1,7,0.0010137385992694588
BAN,1,7,0.0006275146074539563
CHI,1,7,0.0018954461784730645
OAS,1,7,0.0009709452891706464
BLA,1,7,0.0004610977844314597
BLC,1,7,9.850813514078375e-05
OBL,1,7,3.893747873942292e-05
OTH,1,7,0.0007843376411093792
WBI,1,8,0.017812882356771465
WHO,1,8,0.004341512955572183
MIX,1,8,0.0006335526181250076
IND,1,8,0.0019069542544436207
PAK,1,8,0.0016398712635241222
BAN,1,8,0.0010150971591166916
CHI,1,8,0.00306616293576525
OAS,1,8,0.001570646791305464
BLA,1,8,0.0007458934748155948
BLC,1,8,0.00015935139508067888
OBL,1,8,6.298709796083114e-05
OTH,1,8,0.0012687814782651728
WBI,1,9,0.0
WHO,1,9,0.0
MIX,1,9,0.0
IND,1,9,0.0
PAK,1,9,0.0
BAN,1,9,0.0
CHI,1,9,0.0
OAS,1,9,0.0
BLA,1,9,0.0
BLC,1,9,0.0
OBL,1,9,0.0
OTH,1,9,0.0
WBI,1,10,0.0
WHO,1,10,0.0
MIX,1,10,0.0
IND,1,10,0.0
PAK,1,10,0.0
BAN,1,10,0.0
CHI,1,10,0.0
OAS,1,10,0.0
BLA,1,10,0.0
BLC,1,10,0.0
OBL,1,10,0.0
OTH,1,10,0.0
WBI,1,11,0.0
WHO,1,11,0.0
MIX,1,11,0.0
IND,1,11,0.0
PAK,1,11,0.0
BAN,1,11,0.0
CHI,1,11,0.0
OAS,1,11,0.0
BLA,1,11,0.0
BLC,1,11,0.0
OBL,1,11,0.0
OTH,1,11,0.0
WBI,1,12,0.0
WHO,1,12,0.0
MIX,1,12,0.0
IND,1,12,0.0
PAK,1,12,0.0
BAN,1,12,0.0
CHI,1,12,0.0
OAS,1,12,0.0
BLA,1,12,0.0
BLC,1,12,0.0
OBL,1,12,0.0
OTH,1,12,0.0
WBI,1,13,0.0
WHO,1,13,0.0
MIX,1,13,0.0
IND,1,13,0.0
PAK,1,13,0.0
BAN,1,13,0.0
CHI,1,13,0.0
OAS,1,13,0.0
BLA,1,13,0.0
BLC,1,13,0.0
OBL,1,13,0.0
OTH,1,13,0.0
WBI,1,14,0.0
WHO,1,14,0.0
MIX,1,14,0.0
IND,1,14,0.0
PAK,1,14,0.0
BAN,1,14,0.0
CHI,1,14,0.0
OAS,1,14,0.0
BLA,1,14,0.0
BLC,1,14,0.0
OBL,1,14,0.0
OTH,1,14,0.0
WBI,1,15,0.0
WHO,1,15,0.0
MIX,1,15,0.0
IND,1,15,0.0
PAK,1,15,0.0
BAN,1,15,0.0
CHI,1,15,0.0
OAS,1,15,0.0
BLA,1,15,0.0
BLC,1,15,0.0
OBL,1,15,0.0
OTH,1,15,0.0
WBI,1,16,0.006084841356032145
WHO,1,16,0.0014830512575508255
MIX,1,16,0.00021642017809228925
IND,1,16,0.0006514113706639367
PAK,1,16,0.0005601764095784885
BAN,1,16,0.0003467549524255371
CHI,1,16,0.001047394501473528
OAS,1,16,0.0005365294824294134
BLA,1,16,0.00025479556715463883
BLC,1,16,5.443408537191225e-05
OBL,1,16,2.1516253848878965e-05
OTH,1,16,0.00043341295676275793
WBI,1,17,0.0015048532385885935
WHO,1,17,0.0003667761174588063
MIX,1,17,5.3523269850781154e-05
IND,1,17,0.00016110173683086566
PAK,1,17,0.0001385382518312393
BAN,1,17,8.575660113749804e-05
CHI,1,17,0.00025903304875151767
OAS,1,17,0.0001326900870524358
BLA,1,17,6.30139574683515e-05
BLC,1,17,1.3462193156494438e-05
OBL,1,17,5.321224070152855e-06
OTH,1,17,0.00010718815059724105
WBI,1,18,0.026557388241004783
WHO,1,18,0.006472801133762162
MIX,1,18,0.0009445693579318319
IND,1,18,0.002843095433897761
PAK,1,18,0.0024448989747086927
BAN,1,18,0.001513417582683071
CHI,1,18,0.004571370195140925
OAS,1,18,0.002341691579764505
BLA,1,18,0.0011120593624523443
BLC,1,18,0.0002375784435748302
OBL,1,18,9.390803695978435e-05
OTH,1,18,0.0018916378403226184
WBI,1,19,0.015545788238636999
WHO,1,19,0.0037889567612266225
MIX,1,19,0.000552918648545461
IND,1,19,0.0016642509856962507
PAK,1,19,0.0014311603754392343
BAN,1,19,0.0008859029752291172
CHI,1,19,0.0026759240166678525
OAS,1,19,0.0013707462905938512
BLA,1,19,0.0006509615780208838
BLC,1,19,0.00013907030843404646
OBL,1,19,5.497055822036173e-05
OTH,1,19,0.001107300199213239
WBI,1,20,0.040729180044408675
WHO,1,20,0.009926875352961145
MIX,1,20,0.0014486189340048366
IND,1,20,0.004360253529444094
PAK,1,20,0.0037495679028237533
BAN,1,20,0.0023210210525257714
CHI,1,20,0.0070107857759921744
OAS,1,20,0.0035912860517452647
