NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,1,1,0.003423838027997186
WHO,1,1,0.008426544369423082
MIX,1,1,0.0029388948345602335
IND,1,1,0.0014220458876904418
PAK,1,1,0.002180470361125334
BAN,1,1,0.0010428336509729849
CHI,1,1,0.0010428336509729849
OAS,1,1,0.0063518049650172865
BLA,1,1,0.006621629056527781
BLC,1,1,0.0007066167961611441
OBL,1,1,0.0010144233550949738
OTH,1,1,0.013841246640186931
WBI,1,2,0.0049227992394535935
WHO,1,2,0.012115697610054139
MIX,1,2,0.0042255472186779304
IND,1,2,0.002044619621940936
PAK,1,2,0.0031350834203094304
BAN,1,2,0.0014993877227566855
CHI,1,2,0.001499387722756678
OAS,1,2,0.009132634311336187
BLA,1,2,0.009520587778063484
BLC,1,2,0.0010159746454951367
OBL,1,2,0.0014585393584949152
OTH,1,2,0.019900964320225097
WBI,1,3,0.004626808145942146
WHO,1,3,0.01138722212084201
MIX,1,3,0.0039714795061624834
IND,1,3,0.0019216836320141034
PAK,1,3,0.002946581569088297
BAN,1,3,0.001409234663477007
CHI,1,3,0.001409234663477007
OAS,1,3,0.008583520222996346
BLA,1,3,0.008948147373686247
BLC,1,3,0.0009548875623799276
OBL,1,3,0.0013708423717499665
OTH,1,3,0.01870438735160393
WBI,1,4,0.009040889480576578
WHO,1,4,0.02225089379934659
MIX,1,4,0.007760362253420931
IND,1,4,0.003755013993590779
PAK,1,4,0.005757688123505866
BAN,1,4,0.0027536769286332355
CHI,1,4,0.0027536769286332355
OAS,1,4,0.0167723958380388
BLA,1,4,0.017484885672720194
BLC,1,4,0.0018658722483285877
OBL,1,4,0.0026786575080171827
OTH,1,4,0.0365488028709503
WBI,1,5,0.00499908006573059
WHO,1,5,0.012303435394932845
MIX,1,5,0.004291023834244519
IND,1,5,0.002076301855279612
PAK,1,5,0.0031836628447620614
BAN,1,5,0.0015226213605383794
CHI,1,5,0.0015226213605383794
OAS,1,5,0.0092741482869156
BLA,1,5,0.009668113254327646
BLC,1,5,0.001031717596134635
OBL,1,5,0.0014811400338447973
OTH,1,5,0.020209338058054905
WBI,1,6,0.003962036860605623
WHO,1,6,0.009751126988537119
MIX,1,6,0.0034008646345874125
IND,1,6,0.0016455796618971314
PAK,1,6,0.002523222148242275
BAN,1,6,0.0012067584187245664
CHI,1,6,0.0012067584187245664
OAS,1,6,0.007350255823140557
BLA,1,6,0.007662494015397999
BLC,1,6,0.0008176910735322366
OBL,1,6,0.0011738822608663524
OTH,1,6,0.0160169753757988
WBI,1,7,0.0025524558271780846
WHO,1,7,0.0062819508699978755
MIX,1,7,0.0021909328608996433
IND,1,7,0.0010601288036611119
PAK,1,7,0.0016255308322803738
BAN,1,7,0.0007774277893514811
CHI,1,7,0.0007774277893514885
OAS,1,7,0.004735241989686312
BLA,1,7,0.00493639463448355
BLC,1,7,0.0005267796385795916
OBL,1,7,0.0007562480417487289
OTH,1,7,0.010318587022301562
WBI,1,8,0.001947115094750654
WHO,1,8,0.004792122642521034
MIX,1,8,0.0016713309588433773
IND,1,8,0.0008087085284726027
PAK,1,8,0.0012400197436579865
BAN,1,8,0.000593052920879908
CHI,1,8,0.0005930529208799086
OAS,1,8,0.003612231427177622
BLA,1,8,0.0037656786864262723
BLC,1,8,0.0004018485158348847
OBL,1,8,0.000576896164778111
OTH,1,8,0.007871429677133352
WBI,1,9,0.003204197595322004
