NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,1,1,0.04395569953611522
WHO,1,1,0.04265503213830652
MIX,1,1,0.055938941334724636
IND,1,1,0.07382183765097551
PAK,1,1,0.07511693807652858
BAN,1,1,0.09207593967723272
CHI,1,1,0.15792475966367467
OAS,1,1,0.10877529769193366
BLA,1,1,0.05840110182395093
BLC,1,1,0.0034960585765445376
OBL,1,1,0.06413107502724036
OTH,1,1,0.13092872976493428
WBI,1,2,0.04250850942853797
WHO,1,2,0.051124401049153334
MIX,1,2,0.045502872465403854
IND,1,2,0.07999004291022924
PAK,1,2,0.07243410280708852
BAN,1,2,0.09149185294817055
CHI,1,2,0.16509680136006616
OAS,1,2,0.11658798655550469
BLA,1,2,0.05859015620175262
BLC,1,2,0.0015298039758510175
OBL,1,2,0.05403013788770936
OTH,1,2,0.13329870119360712
WBI,1,3,0.04099139814942982
WHO,1,3,0.05292030629882414
MIX,1,3,0.04266527536725691
IND,1,3,0.07641025707095982
PAK,1,3,0.07067894779432904
BAN,1,3,0.08975473492551936
CHI,1,3,0.17612118785736341
OAS,1,3,0.11897176407537151
BLA,1,3,0.058259032691986894
BLC,1,3,0.0012314142629484901
OBL,1,3,0.048621490323015715
OTH,1,3,0.13145024372584305
WBI,1,4,0.031229823638602883
WHO,1,4,0.044331136145035865
MIX,1,4,0.03052415423547743
IND,1,4,0.06108638656118346
PAK,1,4,0.05516134665005626
BAN,1,4,0.0657811256038133
CHI,1,4,0.1382270303920838
OAS,1,4,0.08993488214771199
BLA,1,4,0.04263988997377117
BLC,1,4,0.0016789988323022813
OBL,1,4,0.032784567650159184
OTH,1,4,0.09595856880720921
WBI,1,5,0.028026142444924775
WHO,1,5,0.044373890491959216
MIX,1,5,0.027847108617183258
IND,1,5,0.055581987073692725
PAK,1,5,0.05148669960355066
BAN,1,5,0.060489829814268634
CHI,1,5,0.1365970209156312
OAS,1,5,0.08217919908003876
BLA,1,5,0.04016370071446064
BLC,1,5,0.0015231236091442445
OBL,1,5,0.03127391405886758
OTH,1,5,0.08689353386500848
WBI,1,6,0.024266877420133386
WHO,1,6,0.041229887240861615
MIX,1,6,0.025632344374997784
IND,1,6,0.04997448726002748
PAK,1,6,0.04391762144588662
BAN,1,6,0.050247268900554046
CHI,1,6,0.1331809040606777
OAS,1,6,0.0704039393649002
BLA,1,6,0.034543062846272066
BLC,1,6,0.0011000337177152876
OBL,1,6,0.02614227903361479
OTH,1,6,0.07253453098658035
WBI,1,7,0.020130171676409313
WHO,1,7,0.036891434422592996
MIX,1,7,0.022134281688441216
IND,1,7,0.04202774570454054
PAK,1,7,0.0367912289219914
BAN,1,7,0.04148218242348741
CHI,1,7,0.11566008361993392
OAS,1,7,0.059401820756625534
BLA,1,7,0.030179669992298166
BLC,1,7,0.001344980496963631
OBL,1,7,0.021421709239718763
OTH,1,7,0.0655495395579785
WBI,1,8,0.017836579107083913
WHO,1,8,0.03380109678403981
MIX,1,8,0.02075367256904146
IND,1,8,0.039024698190955845
PAK,1,8,0.03426137405013647
BAN,1,8,0.03719093752994665
CHI,1,8,0.11264011251069209
