NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,1,1,0.0032888000000000006
WHO,1,1,0.003413995
MIX,1,1,0.003528714
IND,1,1,0.003876518
PAK,1,1,0.0043467259999999995
BAN,1,1,0.00413898
CHI,1,1,0.003611753
OAS,1,1,0.00372079
BLA,1,1,0.003676428
BLC,1,1,0.003873245
OBL,1,1,0.0038228809999999998
OTH,1,1,0.003768729
WBI,1,2,0.001571474
WHO,1,2,0.001621257
MIX,1,2,0.001668431
IND,1,2,0.00183024
PAK,1,2,0.0020388710000000003
BAN,1,2,0.001936655
CHI,1,2,0.001693946
OAS,1,2,0.001756683
BLA,1,2,0.0017231070000000002
BLC,1,2,0.0018078170000000002
OBL,1,2,0.0017856979999999998
OTH,1,2,0.0017641739999999999
WBI,1,3,0.00025907400000000003
WHO,1,3,0.00025672
MIX,1,3,0.000257307
IND,1,3,0.00026999099999999997
PAK,1,3,0.00027504200000000003
BAN,1,3,0.000251986
CHI,1,3,0.000242555
OAS,1,3,0.000264722
BLA,1,3,0.0002497
BLC,1,3,0.00024395799999999998
OBL,1,3,0.000247822
OTH,1,3,0.000248684
WBI,1,4,0.00016732799999999998
WHO,1,4,0.00016487900000000002
MIX,1,4,0.00016951
IND,1,4,0.00016811599999999997
PAK,1,4,0.00017491400000000003
BAN,1,4,0.000161543
CHI,1,4,0.000160635
OAS,1,4,0.000170473
BLA,1,4,0.00017088
BLC,1,4,0.000162891
OBL,1,4,0.00016773
OTH,1,4,0.00016235700000000002
WBI,1,5,0.000132087
WHO,1,5,0.000122967
MIX,1,5,0.000126327
IND,1,5,0.00012818200000000001
PAK,1,5,0.000138782
BAN,1,5,0.000131297
CHI,1,5,0.000121336
OAS,1,5,0.000124886
BLA,1,5,0.000124434
BLC,1,5,0.000120395
OBL,1,5,0.000122641
OTH,1,5,0.000117104
WBI,1,6,0.000125998
WHO,1,6,0.000124062
MIX,1,6,0.000123788
IND,1,6,0.00013453
PAK,1,6,0.000130635
BAN,1,6,0.000124267
CHI,1,6,0.00012177299999999999
OAS,1,6,0.000128855
BLA,1,6,0.00012111299999999999
BLC,1,6,0.000112758
OBL,1,6,0.00011829700000000001
OTH,1,6,0.00012210700000000002
WBI,1,7,0.00012795299999999999
WHO,1,7,0.00013152200000000002
MIX,1,7,0.000127951
IND,1,7,0.000134577
PAK,1,7,0.000126433
BAN,1,7,0.00014296
CHI,1,7,0.000127898
OAS,1,7,0.000132643
BLA,1,7,0.000123107
BLC,1,7,0.000113876
OBL,1,7,0.000123712
OTH,1,7,0.000136455
WBI,1,8,0.000136021
WHO,1,8,0.00013743799999999998
MIX,1,8,0.000133054
IND,1,8,0.000132218
PAK,1,8,0.000130435
BAN,1,8,0.00015696299999999998
CHI,1,8,0.00013054899999999999
OAS,1,8,0.000133778
BLA,1,8,0.000123868
BLC,1,8,0.000118251
OBL,1,8,0.000124152
OTH,1,8,0.000139989
WBI,1,9,0.000130949
WHO,1,9,0.000128864
MIX,1,9,0.000128247
IND,1,9,0.000127914
PAK,1,9,0.000132042
BAN,1,9,0.00014024100000000001
CHI,1,9,0.00012177299999999999
OAS,1,9,0.000133372
BLA,1,9,0.00011784399999999999
BLC,1,9,0.000111886
OBL,1,9,0.00011373399999999999
OTH,1,9,0.0001315
WBI,1,10,0.00010248299999999999
WHO,1,10,0.000100805
MIX,1,10,0.00010041700000000001
IND,1,10,0.000101334
PAK,1,10,0.000105291
BAN,1,10,0.00012944
CHI,1,10,9.67e-05
OAS,1,10,0.000105347
BLA,1,10,9.51e-05
BLC,1,10,9.03e-05
OBL,1,10,9.25e-05
OTH,1,10,0.00010217200000000001
WBI,1,11,0.000126038
WHO,1,11,0.00012557899999999998
MIX,1,11,0.000119615
IND,1,11,0.000126823
PAK,1,11,0.00011273
BAN,1,11,0.000140356
CHI,1,11,0.000114249
OAS,1,11,0.000118464
BLA,1,11,0.00011767
BLC,1,11,0.000111367
OBL,1,11,0.000112707
OTH,1,11,0.00011768899999999999
WBI,1,12,0.000160937
WHO,1,12,0.00015871399999999999
MIX,1,12,0.000155061
IND,1,12,0.00016418799999999998
PAK,1,12,0.00013973
BAN,1,12,0.000152359
CHI,1,12,0.000148508
OAS,1,12,0.00015484399999999998
BLA,1,12,0.000149193
BLC,1,12,0.000149673
OBL,1,12,0.000151254
OTH,1,12,0.00015303700000000002
WBI,1,13,0.00017307599999999998
WHO,1,13,0.000178417
MIX,1,13,0.000175998
IND,1,13,0.00017464
PAK,1,13,0.000160688
BAN,1,13,0.000182118
CHI,1,13,0.00016600099999999998
OAS,1,13,0.00017513
BLA,1,13,0.000167238
BLC,1,13,0.00017019599999999998
OBL,1,13,0.000173427
OTH,1,13,0.000170591
WBI,1,14,0.000201429
WHO,1,14,0.00020637599999999998
MIX,1,14,0.000203445
IND,1,14,0.000197668
PAK,1,14,0.00019102099999999999
BAN,1,14,0.000209567
CHI,1,14,0.000197942
OAS,1,14,0.000202156
BLA,1,14,0.00019871
BLC,1,14,0.00018972
OBL,1,14,0.00019282700000000002
OTH,1,14,0.00019425400000000001
WBI,1,15,0.000222781
WHO,1,15,0.00022057200000000002
MIX,1,15,0.00021347
IND,1,15,0.00021491400000000002
PAK,1,15,0.000190161
BAN,1,15,0.000201805
CHI,1,15,0.00022088400000000002
OAS,1,15,0.00021355900000000002
BLA,1,15,0.000209229
BLC,1,15,0.000192983
OBL,1,15,0.00019810599999999998
OTH,1,15,0.00021617400000000002
WBI,1,16,0.000152905
WHO,1,16,0.000149756
MIX,1,16,0.00014286
IND,1,16,0.000142848
PAK,1,16,0.00013031
BAN,1,16,0.000132337
CHI,1,16,0.000147453
OAS,1,16,0.000139302
BLA,1,16,0.000139809
BLC,1,16,0.000131099
OBL,1,16,0.000133984
OTH,1,16,0.00015114799999999998
WBI,1,17,7.96e-05
WHO,1,17,7.53e-05
MIX,1,17,7.140000000000001e-05
IND,1,17,6.35e-05
PAK,1,17,7.859999999999999e-05
BAN,1,17,7.52e-05
CHI,1,17,7.41e-05
OAS,1,17,6.78e-05
BLA,1,17,7.329999999999999e-05
BLC,1,17,7.120000000000001e-05
OBL,1,17,6.92e-05
OTH,1,17,7.45e-05
WBI,1,18,0.000119069
WHO,1,18,0.000111707
MIX,1,18,0.000105767
IND,1,18,8.96e-05
PAK,1,18,0.000109143
BAN,1,18,0.000103806
CHI,1,18,0.000110996
OAS,1,18,9.86e-05
BLA,1,18,0.00010216899999999999
BLC,1,18,0.000100617
OBL,1,18,9.8e-05
OTH,1,18,0.00010223
WBI,1,19,0.00017573599999999999
WHO,1,19,0.00017115
MIX,1,19,0.000159265
IND,1,19,0.000143751
PAK,1,19,0.000164095
BAN,1,19,0.000174318
CHI,1,19,0.00015931299999999998
OAS,1,19,0.00015326
BLA,1,19,0.000158352
BLC,1,19,0.00016185399999999999
OBL,1,19,0.000158539
OTH,1,19,0.000155408
WBI,1,20,0.000206719
WHO,1,20,0.00019259599999999998
MIX,1,20,0.00017998
IND,1,20,0.00016292299999999998
PAK,1,20,0.00018668
BAN,1,20,0.00020426599999999999
CHI,1,20,0.000171585
OAS,1,20,0.000175012
BLA,1,20,0.00017391599999999998
BLC,1,20,0.000176725
OBL,1,20,0.000177181
OTH,1,20,0.00017618400000000002
WBI,1,21,0.000249293
WHO,1,21,0.000213096
MIX,1,21,0.000204647
IND,1,21,0.000170155
PAK,1,21,0.000205025
BAN,1,21,0.000199155
CHI,1,21,0.00018140400000000003
OAS,1,21,0.00018853099999999997
BLA,1,21,0.000194792
BLC,1,21,0.00019056799999999998
OBL,1,21,0.00019424400000000002
OTH,1,21,0.00018758299999999998
WBI,1,22,0.000283004
WHO,1,22,0.000244952
MIX,1,22,0.00023888
IND,1,22,0.000212378
PAK,1,22,0.000228738
BAN,1,22,0.00022681
CHI,1,22,0.00020690099999999998
OAS,1,22,0.000220697
BLA,1,22,0.00023611400000000002
BLC,1,22,0.000239751
OBL,1,22,0.000240466
OTH,1,22,0.000222543
WBI,1,23,0.000288812
WHO,1,23,0.000252215
MIX,1,23,0.000245438
IND,1,23,0.000228857
PAK,1,23,0.00023223799999999998
BAN,1,23,0.00022107099999999998
CHI,1,23,0.000218341
OAS,1,23,0.000233085
BLA,1,23,0.000232245
BLC,1,23,0.000245139
OBL,1,23,0.000245578
OTH,1,23,0.00022790200000000001
WBI,1,24,0.000289228
WHO,1,24,0.00025117200000000003
MIX,1,24,0.000239258
IND,1,24,0.000219334
PAK,1,24,0.000236982
BAN,1,24,0.000226547
CHI,1,24,0.000221415
OAS,1,24,0.00022438799999999998
BLA,1,24,0.000215726
BLC,1,24,0.00021911900000000001
OBL,1,24,0.000220997
OTH,1,24,0.000219431
WBI,1,25,0.000316708
WHO,1,25,0.00026907099999999996
MIX,1,25,0.000261015
IND,1,25,0.000252166
PAK,1,25,0.000276621
BAN,1,25,0.000256772
CHI,1,25,0.000252469
OAS,1,25,0.000245461
BLA,1,25,0.000238688
BLC,1,25,0.00023637
OBL,1,25,0.00022911400000000002
OTH,1,25,0.000245263
WBI,1,26,0.000405376
WHO,1,26,0.00034001
MIX,1,26,0.000323112
IND,1,26,0.000315324
PAK,1,26,0.000335811
BAN,1,26,0.000296724
CHI,1,26,0.000321431
OAS,1,26,0.000307159
BLA,1,26,0.00031308
BLC,1,26,0.00030196
OBL,1,26,0.000287784
OTH,1,26,0.000302819
WBI,1,27,0.00044972
WHO,1,27,0.000386159
MIX,1,27,0.00035621599999999997
IND,1,27,0.00035048699999999997
PAK,1,27,0.00037545300000000004
BAN,1,27,0.000354676
CHI,1,27,0.00036068300000000004
OAS,1,27,0.000341781
BLA,1,27,0.000347618
BLC,1,27,0.00032731599999999997
OBL,1,27,0.00031604
OTH,1,27,0.000347465
WBI,1,28,0.00048522699999999997
WHO,1,28,0.000406966
MIX,1,28,0.00038335400000000003
IND,1,28,0.000369305
PAK,1,28,0.000404684
BAN,1,28,0.00036481
CHI,1,28,0.000389715
OAS,1,28,0.00036255300000000005
BLA,1,28,0.00036615199999999996
BLC,1,28,0.00034276900000000004
OBL,1,28,0.00032849699999999997
OTH,1,28,0.000374836
WBI,1,29,0.000517792
WHO,1,29,0.000427751
MIX,1,29,0.0004061
IND,1,29,0.000373081
PAK,1,29,0.00040897
BAN,1,29,0.000351565
CHI,1,29,0.00040353300000000003
OAS,1,29,0.000380891
BLA,1,29,0.000384412
BLC,1,29,0.000367974
OBL,1,29,0.000361345
OTH,1,29,0.000381903
WBI,1,30,0.0005734469999999999
WHO,1,30,0.00047287800000000004
MIX,1,30,0.00044788
IND,1,30,0.000434132
PAK,1,30,0.000479585
BAN,1,30,0.000424601
CHI,1,30,0.000454232
OAS,1,30,0.00042530599999999997
BLA,1,30,0.00043248300000000005
BLC,1,30,0.000396896
OBL,1,30,0.000394671
OTH,1,30,0.00042076099999999996
WBI,1,31,0.000749654
WHO,1,31,0.00060076
MIX,1,31,0.000581561
IND,1,31,0.000573205
PAK,1,31,0.0006814519999999999
BAN,1,31,0.0005750859999999999
CHI,1,31,0.000617554
OAS,1,31,0.000554751
BLA,1,31,0.000589805
BLC,1,31,0.000524024
OBL,1,31,0.000501967
OTH,1,31,0.0005662369999999999
WBI,1,32,0.000931972
WHO,1,32,0.000751272
MIX,1,32,0.0007260610000000001
IND,1,32,0.0007144860000000001
PAK,1,32,0.000841443
BAN,1,32,0.000738233
CHI,1,32,0.00077249
OAS,1,32,0.000707135
BLA,1,32,0.0007377960000000001
BLC,1,32,0.000667352
OBL,1,32,0.000636098
OTH,1,32,0.000728885
WBI,1,33,0.001014842
WHO,1,33,0.000834569
MIX,1,33,0.000792463
IND,1,33,0.000791378
PAK,1,33,0.000898488
BAN,1,33,0.0008228689999999999
CHI,1,33,0.000852315
OAS,1,33,0.0007882119999999999
BLA,1,33,0.000806139
BLC,1,33,0.0007264089999999999
OBL,1,33,0.00069422
OTH,1,33,0.000804974
WBI,1,34,0.0011605810000000002
WHO,1,34,0.000948213
MIX,1,34,0.000917647
IND,1,34,0.0009227980000000001
PAK,1,34,0.000999703
BAN,1,34,0.000910593
CHI,1,34,0.000964758
OAS,1,34,0.000900416
BLA,1,34,0.000922655
BLC,1,34,0.000842985
OBL,1,34,0.0008049369999999999
OTH,1,34,0.000905526
WBI,1,35,0.001372705
WHO,1,35,0.001085891
MIX,1,35,0.001088982
IND,1,35,0.0011180089999999999
PAK,1,35,0.001164912
BAN,1,35,0.0010569660000000001
CHI,1,35,0.001102034
OAS,1,35,0.0010450910000000002
BLA,1,35,0.001052132
BLC,1,35,0.0009615369999999999
OBL,1,35,0.0009516689999999999
OTH,1,35,0.00105512
WBI,1,36,0.001369692
WHO,1,36,0.001098847
MIX,1,36,0.001128662
IND,1,36,0.001163292
PAK,1,36,0.001218245
BAN,1,36,0.001079365
CHI,1,36,0.001167177
OAS,1,36,0.001100637
BLA,1,36,0.0010867589999999999
BLC,1,36,0.00102051
OBL,1,36,0.001009634
OTH,1,36,0.001108936
WBI,1,37,0.0012997039999999998
WHO,1,37,0.001109461
MIX,1,37,0.001132961
IND,1,37,0.001167074
PAK,1,37,0.001274626
BAN,1,37,0.001099215
CHI,1,37,0.00121082
OAS,1,37,0.001126932
BLA,1,37,0.001119235
BLC,1,37,0.001079822
OBL,1,37,0.001063913
OTH,1,37,0.001144503
WBI,1,38,0.0013463720000000002
WHO,1,38,0.001137503
MIX,1,38,0.001156584
IND,1,38,0.00119352
PAK,1,38,0.001358639
BAN,1,38,0.001165935
CHI,1,38,0.00124822
OAS,1,38,0.001157093
BLA,1,38,0.001181499
BLC,1,38,0.001110892
OBL,1,38,0.001089453
OTH,1,38,0.0011619739999999999
WBI,1,39,0.0014053989999999999
WHO,1,39,0.001186857
MIX,1,39,0.001241006
IND,1,39,0.001239553
PAK,1,39,0.0014055060000000002
BAN,1,39,0.001270715
CHI,1,39,0.001323798
