DC1117EW_C_SEX,DC1117EW_C_AGE,NewEthpop_ETH,Rate
1,1,WBI,0.002893479
1,2,WBI,0.000292004
1,3,WBI,0.000188233
1,4,WBI,0.00014786200000000002
1,5,WBI,0.000224462
1,6,WBI,0.000296417
1,7,WBI,0.000308657
1,8,WBI,0.000311404
1,9,WBI,0.000222632
1,10,WBI,0.000145261
1,11,WBI,0.000129247
1,12,WBI,0.000130298
1,13,WBI,0.00015287799999999998
1,14,WBI,0.000184726
1,15,WBI,0.000202205
1,16,WBI,0.00023826099999999997
1,17,WBI,0.000373548
1,18,WBI,0.0005167819999999999
1,19,WBI,0.000610159
1,20,WBI,0.0006041919999999999
1,21,WBI,0.000521236
1,22,WBI,0.000524554
1,23,WBI,0.000516292
1,24,WBI,0.000556587
1,25,WBI,0.000535757
1,26,WBI,0.00041866099999999997
1,27,WBI,0.000457905
1,28,WBI,0.00049863
1,29,WBI,0.000546533
1,30,WBI,0.000609671
1,31,WBI,0.0006556260000000001
1,32,WBI,0.0007070239999999999
1,33,WBI,0.000812953
1,34,WBI,0.000970675
1,35,WBI,0.0010556110000000001
1,36,WBI,0.001076924
1,37,WBI,0.001112916
1,38,WBI,0.001149464
1,39,WBI,0.001152651
1,40,WBI,0.001350246
1,41,WBI,0.0015235560000000001
1,42,WBI,0.0015377320000000002
1,43,WBI,0.001627977
1,44,WBI,0.001674325
1,45,WBI,0.001907633
1,46,WBI,0.0022579429999999997
1,47,WBI,0.002492677
1,48,WBI,0.0027626659999999996
1,49,WBI,0.0031244379999999998
1,50,WBI,0.00321066
1,51,WBI,0.00335601
1,52,WBI,0.003939865999999999
1,53,WBI,0.004683988
1,54,WBI,0.00566138
1,55,WBI,0.006634757
1,56,WBI,0.007649736999999999
1,57,WBI,0.008582915
1,58,WBI,0.009170465
1,59,WBI,0.009680031
1,60,WBI,0.01039666
1,61,WBI,0.011617981000000001
1,62,WBI,0.012917878999999998
1,63,WBI,0.013475485
1,64,WBI,0.013332598999999999
1,65,WBI,0.015276032
1,66,WBI,0.018449636000000002
1,67,WBI,0.020214063
1,68,WBI,0.022366808
1,69,WBI,0.02687515
1,70,WBI,0.030073261
1,71,WBI,0.030717661
1,72,WBI,0.032380064
1,73,WBI,0.034633838
1,74,WBI,0.038441621
1,75,WBI,0.041731934
1,76,WBI,0.044071368
1,77,WBI,0.048981668
1,78,WBI,0.054668519000000006
1,79,WBI,0.060312690999999995
1,80,WBI,0.06091590400000001
1,81,WBI,0.067752861
1,82,WBI,0.075357171
1,83,WBI,0.083814958
1,84,WBI,0.093222013
1,85,WBI,0.10368487800000001
1,86,WBI,0.171349723
1,1,WHO,0.002997974
1,2,WHO,0.00028938
1,3,WHO,0.00018554900000000002
1,4,WHO,0.00013764700000000002
1,5,WHO,0.00022628400000000002
1,6,WHO,0.00030508200000000003
1,7,WHO,0.00031189099999999996
1,8,WHO,0.00030641
1,9,WHO,0.000217962
1,10,WHO,0.000146112
1,11,WHO,0.00012743700000000002
1,12,WHO,0.00013419999999999998
1,13,WHO,0.000156469
1,14,WHO,0.000182888
1,15,WHO,0.000195608
1,16,WHO,0.00022543299999999998
1,17,WHO,0.000350395
1,18,WHO,0.000501985
1,19,WHO,0.0005657030000000001
1,20,WHO,0.000517247
1,21,WHO,0.000450844
1,22,WHO,0.00045798599999999996
1,23,WHO,0.000448296
1,24,WHO,0.00047259300000000005
1,25,WHO,0.00044844800000000005
1,26,WHO,0.00035937400000000003
1,27,WHO,0.00038361900000000003
1,28,WHO,0.00041186699999999995
1,29,WHO,0.00045071900000000003
1,30,WHO,0.000489151
1,31,WHO,0.000528431
1,32,WHO,0.000581437
1,33,WHO,0.000664159
1,34,WHO,0.000767772
1,35,WHO,0.00084924
1,36,WHO,0.000919016
1,37,WHO,0.000939968
1,38,WHO,0.000970101
1,39,WHO,0.001007352
1,40,WHO,0.00121575
1,41,WHO,0.001394074
1,42,WHO,0.00142708
1,43,WHO,0.001542502
1,44,WHO,0.001610044
1,45,WHO,0.001880905
1,46,WHO,0.0022261810000000003
1,47,WHO,0.002417606
1,48,WHO,0.002722526
1,49,WHO,0.0031164170000000002
1,50,WHO,0.0031741390000000003
1,51,WHO,0.003378527
1,52,WHO,0.004023181
1,53,WHO,0.004717512
1,54,WHO,0.00564481
1,55,WHO,0.006544709
1,56,WHO,0.007603672
1,57,WHO,0.008656401999999999
1,58,WHO,0.009284576
1,59,WHO,0.009690439
1,60,WHO,0.010305459
1,61,WHO,0.01152151
1,62,WHO,0.012739325
1,63,WHO,0.013300015
1,64,WHO,0.013178781
1,65,WHO,0.01500724
1,66,WHO,0.018099221000000002
1,67,WHO,0.019836479
1,68,WHO,0.021842583
1,69,WHO,0.026137984
1,70,WHO,0.029186483
1,71,WHO,0.029760231
1,72,WHO,0.031325643
1,73,WHO,0.033456835
1,74,WHO,0.037059677
1,75,WHO,0.040172119
1,76,WHO,0.042395376
1,77,WHO,0.047014362000000004
1,78,WHO,0.052520004
1,79,WHO,0.058082402000000005
1,80,WHO,0.059299662
1,81,WHO,0.065907595
1,82,WHO,0.07325187
1,83,WHO,0.081414538
1,84,WHO,0.090486795
1,85,WHO,0.10057000099999999
1,86,WHO,0.17493402100000002
1,1,MIX,0.003094598
1,2,MIX,0.000290069
1,3,MIX,0.000190759
1,4,MIX,0.000141406
1,5,MIX,0.00022350099999999997
1,6,MIX,0.00029677
1,7,MIX,0.000301857
1,8,MIX,0.000304986
1,9,MIX,0.000218354
1,10,MIX,0.000138733
1,11,MIX,0.000124422
1,12,MIX,0.00013241700000000002
1,13,MIX,0.000154286
1,14,MIX,0.00017675900000000002
1,15,MIX,0.000188779
1,16,MIX,0.00021345
1,17,MIX,0.000331933
1,18,MIX,0.000468135
1,19,MIX,0.00052968
1,20,MIX,0.000497268
1,21,MIX,0.00043935199999999995
1,22,MIX,0.00044546099999999997
1,23,MIX,0.00042705900000000003
1,24,MIX,0.000458654
1,25,MIX,0.000430593
1,26,MIX,0.00033151199999999995
1,27,MIX,0.000361576
1,28,MIX,0.000391048
1,29,MIX,0.000426879
1,30,MIX,0.00047268300000000005
1,31,MIX,0.000510765
1,32,MIX,0.000552097
1,33,MIX,0.000642806
1,34,MIX,0.000770023
1,35,MIX,0.000873045
1,36,MIX,0.000938655
1,37,MIX,0.000955833
1,38,MIX,0.001014067
1,39,MIX,0.0010671189999999998
1,40,MIX,0.0012679310000000001
1,41,MIX,0.0014377029999999998
1,42,MIX,0.0014909
1,43,MIX,0.001625581
1,44,MIX,0.001669185
1,45,MIX,0.001964104
1,46,MIX,0.002349165
1,47,MIX,0.0025494420000000003
1,48,MIX,0.0028534470000000003
1,49,MIX,0.0032392809999999997
1,50,MIX,0.003249565
1,51,MIX,0.003446537
1,52,MIX,0.004145421
1,53,MIX,0.004819885
1,54,MIX,0.005781343
1,55,MIX,0.006830674
1,56,MIX,0.007874645999999999
1,57,MIX,0.008828057
1,58,MIX,0.009496604
1,59,MIX,0.009908726999999999
1,60,MIX,0.010660928
1,61,MIX,0.012073299
1,62,MIX,0.013418365
1,63,MIX,0.014088306
1,64,MIX,0.013901896
1,65,MIX,0.015652695
1,66,MIX,0.018837037
1,67,MIX,0.020747009
1,68,MIX,0.022819427000000003
1,69,MIX,0.027145305
1,70,MIX,0.030445625
1,71,MIX,0.031293457999999996
1,72,MIX,0.032953703
1,73,MIX,0.034969649
1,74,MIX,0.038716753
1,75,MIX,0.042141039000000005
1,76,MIX,0.044031705
1,77,MIX,0.048432975
1,78,MIX,0.053924899000000005
