PID,Area,DC1117EW_C_SEX,DC1117EW_C_AGE,Age,NewEthpop_ETH
0,E02000001,1,10.0,9.894637782018489,WBI
1,E02000001,1,10.0,9.242649013717847,WBI
2,E02000001,1,10.0,9.64617162756224,WBI
3,E02000001,1,10.0,9.442947971796926,WBI
4,E02000001,1,10.0,9.513459875687406,WBI
5,E02000001,1,10.0,9.234051868375223,WBI
6,E02000001,1,10.0,9.061669113098251,WBI
7,E02000001,1,10.0,9.830974307719478,WBI
8,E02000001,1,10.0,9.947122722925736,WBI
9,E02000001,1,10.0,9.39515070243415,WBI
10,E02000001,1,10.0,9.683434592594992,WBI
11,E02000001,1,10.0,9.178891219316364,WBI
12,E02000001,1,10.0,9.833470411516053,WBI
13,E02000001,1,10.0,9.219463001483415,WBI
14,E02000001,1,10.0,9.563385247356884,WBI
15,E02000001,1,10.0,9.794177218416,WBI
16,E02000001,1,10.0,9.558621824737362,WBI
17,E02000001,1,10.0,9.98458615653697,WBI
18,E02000001,1,10.0,9.764605784259931,WBI
19,E02000001,1,10.0,9.542708694943911,WBI
20,E02000001,1,10.0,9.50849979076426,WHO
21,E02000001,1,10.0,9.249348791031709,WHO
22,E02000001,1,10.0,9.814719609179232,WHO
23,E02000001,1,10.0,9.238619702024817,WHO
24,E02000001,1,10.0,9.671039337777302,WHO
25,E02000001,1,10.0,9.112661891309521,MIX
26,E02000001,1,10.0,9.814232060450728,IND
27,E02000001,1,10.0,9.291038022346022,BAN
28,E02000001,1,10.0,9.334364016020466,CHI
29,E02000001,1,10.0,9.74749979305916,OAS
30,E02000001,1,10.0,9.479944945859923,OAS
31,E02000001,1,11.0,10.671078361653695,WBI
32,E02000001,1,11.0,10.385578171657222,WBI
33,E02000001,1,11.0,10.898600436063912,WBI
34,E02000001,1,11.0,10.770527602490455,WBI
35,E02000001,1,11.0,10.052022042780155,WBI
36,E02000001,1,11.0,10.29378131748846,WBI
37,E02000001,1,11.0,10.252832423873231,WBI
38,E02000001,1,11.0,10.870371843119235,WBI
39,E02000001,1,11.0,10.28601334375607,WBI
40,E02000001,1,11.0,10.903096530631867,WBI
41,E02000001,1,11.0,10.074698270287943,WBI
42,E02000001,1,11.0,10.523233235251352,WHO
43,E02000001,1,11.0,10.249163105425776,WHO
44,E02000001,1,11.0,10.386591701832765,WHO
45,E02000001,1,11.0,10.659504633943573,WHO
46,E02000001,1,11.0,10.690896589284257,WHO
47,E02000001,1,11.0,10.362809230457797,IND
48,E02000001,1,11.0,10.45147310466064,CHI
49,E02000001,1,12.0,11.425915522113172,WBI
50,E02000001,1,12.0,11.129814791204758,WBI
51,E02000001,1,12.0,11.64654056969709,WBI
52,E02000001,1,12.0,11.073094372979497,WBI
53,E02000001,1,12.0,11.727593727657199,WHO
54,E02000001,1,12.0,11.542426958324988,WHO
55,E02000001,1,12.0,11.009857319844874,MIX
56,E02000001,1,12.0,11.470068607085606,BAN
57,E02000001,1,12.0,11.344121049496845,OAS
58,E02000001,1,12.0,11.570371610702434,OBL
59,E02000001,1,13.0,12.984098379005058,WBI
60,E02000001,1,13.0,12.360848602112693,WBI
61,E02000001,1,13.0,12.66077110439426,WBI
62,E02000001,1,13.0,12.659505017604106,WBI
63,E02000001,1,13.0,12.947928673383023,WBI
64,E02000001,1,13.0,12.371257323224597,WBI
65,E02000001,1,13.0,12.742525651700406,WBI
66,E02000001,1,13.0,12.870404987001503,WBI
67,E02000001,1,13.0,12.964513647489738,WBI
68,E02000001,1,13.0,12.819437920925708,WBI
69,E02000001,1,13.0,12.602640527698936,WBI
70,E02000001,1,13.0,12.268248130810285,WBI
71,E02000001,1,13.0,12.403550271157641,WBI
72,E02000001,1,13.0,12.462722725330888,WBI
73,E02000001,1,13.0,12.885521685752774,WBI
74,E02000001,1,13.0,12.552883836759133,WBI
75,E02000001,1,13.0,12.713106374366928,WHO
76,E02000001,1,13.0,12.229868962486957,WHO
77,E02000001,1,13.0,12.476971602659367,WHO
78,E02000001,1,13.0,12.617236583354174,WHO
79,E02000001,1,13.0,12.79915785126052,IND
80,E02000001,1,13.0,12.28891826683966,OTH
81,E02000001,1,14.0,13.7896150776504,WBI
82,E02000001,1,14.0,13.62303401805839,WBI
83,E02000001,1,14.0,13.967624965890147,WBI
84,E02000001,1,14.0,13.594063562225653,WBI
85,E02000001,1,14.0,13.85417692685873,WBI
86,E02000001,1,14.0,13.347098991556242,WBI
87,E02000001,1,14.0,13.383268379202438,WBI
88,E02000001,1,14.0,13.415281350762406,WBI
89,E02000001,1,14.0,13.272226217114387,WBI
90,E02000001,1,14.0,13.451382789483564,WHO
91,E02000001,1,14.0,13.873759969999444,WHO
92,E02000001,1,14.0,13.268542241746038,MIX
93,E02000001,1,14.0,13.841921161050303,CHI
94,E02000001,1,14.0,13.556966270331163,CHI
95,E02000001,1,15.0,14.388040024230975,WBI
96,E02000001,1,15.0,14.170601131277452,WBI
97,E02000001,1,15.0,14.08249530806512,WBI
98,E02000001,1,15.0,14.604072738761575,WBI
99,E02000001,1,15.0,14.188040533492611,WBI
100,E02000001,1,15.0,14.142966924610407,WBI
101,E02000001,1,15.0,14.564499545352486,WBI
