DC1117EW_C_AGE,NewEthpop_ETH,Rate,DC1117EW_C_SEX
1,WBI,0.0,2
2,WBI,0.0,2
3,WBI,0.0,2
4,WBI,0.0,2
5,WBI,0.0,2
6,WBI,0.0,2
7,WBI,0.0,2
8,WBI,0.0,2
9,WBI,0.0,2
10,WBI,0.0,2
11,WBI,1.11e-05,2
12,WBI,0.000101105,2
13,WBI,0.0006793639999999999,2
14,WBI,0.00156455,2
15,WBI,0.003154169,2
16,WBI,0.005686386999999999,2
17,WBI,0.009322147,2
18,WBI,0.014087292,2
19,WBI,0.020845381,2
20,WBI,0.028540567000000003,2
21,WBI,0.036757442,2
22,WBI,0.045019034000000006,2
23,WBI,0.05185275599999999,2
24,WBI,0.058488029000000004,2
25,WBI,0.063789078,2
26,WBI,0.06757604099999999,2
27,WBI,0.069798874,2
28,WBI,0.069646469,2
29,WBI,0.070586373,2
30,WBI,0.070206113,2
31,WBI,0.068735989,2
32,WBI,0.06641839599999999,2
33,WBI,0.061011877,2
34,WBI,0.062459898,2
35,WBI,0.06304182900000001,2
36,WBI,0.06297169400000001,2
37,WBI,0.062433147,2
38,WBI,0.054485899000000004,2
39,WBI,0.051205719000000004,2
40,WBI,0.048007312,2
41,WBI,0.044975593,2
42,WBI,0.042165582,2
43,WBI,0.035581613,2
44,WBI,0.029866835,2
45,WBI,0.024946844,2
46,WBI,0.020741816,2
47,WBI,0.018708942,2
48,WBI,0.015449643,2
49,WBI,0.012709362,2
50,WBI,0.010290345,2
51,WBI,0.0,2
52,WBI,0.0,2
53,WBI,0.0,2
54,WBI,0.0,2
55,WBI,0.0,2
56,WBI,0.0,2
57,WBI,0.0,2
58,WBI,0.0,2
59,WBI,0.0,2
60,WBI,0.0,2
61,WBI,0.0,2
62,WBI,0.0,2
63,WBI,0.0,2
64,WBI,0.0,2
65,WBI,0.0,2
66,WBI,0.0,2
67,WBI,0.0,2
68,WBI,0.0,2
69,WBI,0.0,2
70,WBI,0.0,2
71,WBI,0.0,2
72,WBI,0.0,2
73,WBI,0.0,2
74,WBI,0.0,2
75,WBI,0.0,2
76,WBI,0.0,2
77,WBI,0.0,2
78,WBI,0.0,2
79,WBI,0.0,2
80,WBI,0.0,2
81,WBI,0.0,2
82,WBI,0.0,2
83,WBI,0.0,2
84,WBI,0.0,2
85,WBI,0.0,2
86,WBI,0.0,2
1,WHO,0.0,2
2,WHO,0.0,2
3,WHO,0.0,2
4,WHO,0.0,2
5,WHO,0.0,2
6,WHO,0.0,2
7,WHO,0.0,2
8,WHO,0.0,2
9,WHO,0.0,2
10,WHO,0.0,2
11,WHO,1.25e-05,2
12,WHO,0.00011368,2
13,WHO,0.0007638619999999999,2
14,WHO,0.001759144,2
15,WHO,0.003546476,2
16,WHO,0.006393645,2
17,WHO,0.010481611,2
18,WHO,0.015839432,2
19,WHO,0.023438074,2
20,WHO,0.032090368,2
21,WHO,0.041329236,2
22,WHO,0.050618382999999996,2
23,WHO,0.058302065,2
24,WHO,0.065762616,2
25,WHO,0.071722996,2
26,WHO,0.075980971,2
27,WHO,0.078480274,2
28,WHO,0.078308913,2
29,WHO,0.07936572,2
30,WHO,0.078938164,2
31,WHO,0.07728519,2
32,WHO,0.074679341,2
33,WHO,0.068600374,2
34,WHO,0.070228495,2
35,WHO,0.07088280599999999,2
36,WHO,0.070803947,2
37,WHO,0.070198418,2
38,WHO,0.061262711,2
39,WHO,0.057574552,2
40,WHO,0.053978335,2
41,WHO,0.050569538,2
42,WHO,0.047410025999999994,2
43,WHO,0.040007161,2
44,WHO,0.033581594,2
45,WHO,0.028049667,2
46,WHO,0.023321627999999997,2
47,WHO,0.021035911,2
48,WHO,0.017371229,2
49,WHO,0.014290118000000001,2
50,WHO,0.011570231,2
51,WHO,0.0,2
52,WHO,0.0,2
53,WHO,0.0,2
54,WHO,0.0,2
55,WHO,0.0,2
56,WHO,0.0,2
57,WHO,0.0,2
58,WHO,0.0,2
59,WHO,0.0,2
60,WHO,0.0,2
61,WHO,0.0,2
62,WHO,0.0,2
63,WHO,0.0,2
64,WHO,0.0,2
65,WHO,0.0,2
66,WHO,0.0,2
67,WHO,0.0,2
68,WHO,0.0,2
69,WHO,0.0,2
70,WHO,0.0,2
71,WHO,0.0,2
72,WHO,0.0,2
73,WHO,0.0,2
74,WHO,0.0,2
75,WHO,0.0,2
76,WHO,0.0,2
77,WHO,0.0,2
78,WHO,0.0,2
79,WHO,0.0,2
80,WHO,0.0,2
81,WHO,0.0,2
82,WHO,0.0,2
83,WHO,0.0,2
84,WHO,0.0,2
85,WHO,0.0,2
86,WHO,0.0,2
1,MIX,0.0,2
2,MIX,0.0,2
3,MIX,0.0,2
4,MIX,0.0,2
5,MIX,0.0,2
6,MIX,0.0,2
7,MIX,0.0,2
8,MIX,0.0,2
9,MIX,0.0,2
10,MIX,0.0,2
11,MIX,5.520000000000001e-07,2
12,MIX,9.74e-06,2
13,MIX,0.00012657600000000002,2
14,MIX,0.000376005,2
15,MIX,0.000941323,2
16,MIX,0.002043693,2
17,MIX,0.003933923,2
18,MIX,0.006830556999999999,2
19,MIX,0.011469552,2
20,MIX,0.017406423,2
21,MIX,0.024426962000000003,2
22,MIX,0.032144155,2
23,MIX,0.03943816,2
24,MIX,0.046923615,2
25,MIX,0.053410234,2
26,MIX,0.058506235999999996,2
27,MIX,0.061978106,2
28,MIX,0.06301031,2
29,MIX,0.064665892,2
30,MIX,0.064707602,2
31,MIX,0.063386394,2
32,MIX,0.060995974,2
