NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,1,1,0.007503001962397687
WHO,1,1,0.0018286978812864583
MIX,1,1,0.0002668600421799273
IND,1,1,0.000803232246568676
PAK,1,1,0.0006907336534237987
BAN,1,1,0.0004275712276279402
CHI,1,1,0.0012915049941556714
OAS,1,1,0.0006615754666407866
BLA,1,1,0.0003141793727253568
BLC,1,1,6.712073914004335e-05
OBL,1,1,2.6530929141077325e-05
OTH,1,1,0.0005344261378147232
WBI,1,2,4.634511785508349e-05
WHO,1,2,1.1295641298550204e-05
MIX,1,2,1.6483615714914532e-06
IND,1,2,4.96146653283464e-06
PAK,1,2,4.266576596251931e-06
BAN,1,2,2.641054745176587e-06
CHI,1,2,7.977467081115586e-06
OAS,1,2,4.086470072267034e-06
BLA,1,2,1.940647240873146e-06
BLC,1,2,4.1459652837029864e-07
OBL,1,2,1.638782775228235e-07
OTH,1,2,3.30108434810344e-06
WBI,1,3,0.0008096764707623416
WHO,1,3,0.0001973414979805539
MIX,1,3,2.879784627840945e-05
IND,1,3,8.667973883834687e-05
PAK,1,3,7.453960288746006e-05
BAN,1,3,4.6140779959849726e-05
CHI,1,3,0.0001393710425347846
OAS,1,3,7.139303596843057e-05
BLA,1,3,3.390424885525437e-05
BLC,1,3,7.243245230939949e-06
OBL,1,3,2.863049907310507e-06
OTH,1,3,5.7671885375689556e-05
WBI,1,4,0.0
WHO,1,4,0.0
MIX,1,4,0.0
IND,1,4,0.0
PAK,1,4,0.0
BAN,1,4,0.0
CHI,1,4,0.0
OAS,1,4,0.0
BLA,1,4,0.0
BLC,1,4,0.0
OBL,1,4,0.0
OTH,1,4,0.0
WBI,1,5,0.0
WHO,1,5,0.0
MIX,1,5,0.0
IND,1,5,0.0
PAK,1,5,0.0
BAN,1,5,0.0
CHI,1,5,0.0
OAS,1,5,0.0
BLA,1,5,0.0
BLC,1,5,0.0
OBL,1,5,0.0
OTH,1,5,0.0
WBI,1,6,0.0
WHO,1,6,0.0
MIX,1,6,0.0
IND,1,6,0.0
PAK,1,6,0.0
BAN,1,6,0.0
CHI,1,6,0.0
OAS,1,6,0.0
BLA,1,6,0.0
BLC,1,6,0.0
OBL,1,6,0.0
OTH,1,6,0.0
WBI,1,7,0.0009176333335306545
WHO,1,7,0.0002236536977112937
MIX,1,7,3.263755911553072e-05
IND,1,7,9.823703735012587e-05
PAK,1,7,8.447821660578824e-05
BAN,1,7,5.229288395449636e-05
CHI,1,7,0.0001579538482060887
OAS,1,7,8.09121074308872e-05
BLA,1,7,3.842481536928831e-05
BLC,1,7,8.209011261731979e-06
OBL,1,7,3.24478989495191e-06
OTH,1,7,6.536147009244827e-05
WBI,1,8,0.0014844068630642888
WHO,1,8,0.0003617927462976819
MIX,1,8,5.27960515104173e-05
IND,1,8,0.00015891285453696838
PAK,1,8,0.0001366559386270102
BAN,1,8,8.459142992639096e-05
CHI,1,8,0.0002555135779804375
OAS,1,8,0.00013088723260878867
BLA,1,8,6.215778956796623e-05
BLC,1,8,1.3279282923389907e-05
OBL,1,8,5.248924830069261e-06
OTH,1,8,0.00010573178985543107
WBI,1,9,0.0
WHO,1,9,0.0
MIX,1,9,0.0
IND,1,9,0.0
PAK,1,9,0.0
BAN,1,9,0.0
CHI,1,9,0.0
OAS,1,9,0.0
BLA,1,9,0.0
BLC,1,9,0.0
OBL,1,9,0.0
OTH,1,9,0.0
WBI,1,10,0.0
WHO,1,10,0.0
MIX,1,10,0.0
IND,1,10,0.0
PAK,1,10,0.0
BAN,1,10,0.0
CHI,1,10,0.0
OAS,1,10,0.0
BLA,1,10,0.0
BLC,1,10,0.0
OBL,1,10,0.0
OTH,1,10,0.0
WBI,1,11,0.0
WHO,1,11,0.0
MIX,1,11,0.0
IND,1,11,0.0
PAK,1,11,0.0
BAN,1,11,0.0
CHI,1,11,0.0
OAS,1,11,0.0
BLA,1,11,0.0
BLC,1,11,0.0
OBL,1,11,0.0
OTH,1,11,0.0
WBI,1,12,0.0
WHO,1,12,0.0
MIX,1,12,0.0
IND,1,12,0.0
PAK,1,12,0.0
BAN,1,12,0.0
CHI,1,12,0.0
OAS,1,12,0.0
BLA,1,12,0.0
BLC,1,12,0.0
OBL,1,12,0.0
OTH,1,12,0.0
WBI,1,13,0.0
WHO,1,13,0.0
MIX,1,13,0.0
IND,1,13,0.0
PAK,1,13,0.0
BAN,1,13,0.0
CHI,1,13,0.0
OAS,1,13,0.0
BLA,1,13,0.0
BLC,1,13,0.0
OBL,1,13,0.0
OTH,1,13,0.0
WBI,1,14,0.0
WHO,1,14,0.0
MIX,1,14,0.0
IND,1,14,0.0
PAK,1,14,0.0
BAN,1,14,0.0
CHI,1,14,0.0
OAS,1,14,0.0
BLA,1,14,0.0
BLC,1,14,0.0
OBL,1,14,0.0
OTH,1,14,0.0
WBI,1,15,0.0
WHO,1,15,0.0
MIX,1,15,0.0
IND,1,15,0.0
PAK,1,15,0.0
BAN,1,15,0.0
CHI,1,15,0.0
OAS,1,15,0.0
BLA,1,15,0.0
BLC,1,15,0.0
OBL,1,15,0.0
OTH,1,15,0.0
WBI,1,16,0.0005070701130026788
WHO,1,16,0.00012358760479590212
MIX,1,16,1.8035014841024103e-05
IND,1,16,5.428428088866139e-05
PAK,1,16,4.668136746487404e-05
BAN,1,16,2.8896246035461426e-05
CHI,1,16,8.7282875122794e-05
OAS,1,16,4.471079020245111e-05
BLA,1,16,2.1232963929553235e-05
BLC,1,16,4.536173780992688e-06
OBL,1,16,1.793021154073247e-06
OTH,1,16,3.611774639689649e-05
WBI,1,17,0.00012540443654904945
WHO,1,17,3.0564676454900525e-05
MIX,1,17,4.4602724875650965e-06
IND,1,17,1.3425144735905472e-05
PAK,1,17,1.1544854319269941e-05
BAN,1,17,7.146383428124837e-06
CHI,1,17,2.1586087395959806e-05
OAS,1,17,1.105750725436965e-05
BLA,1,17,5.251163122362625e-06
BLC,1,17,1.12184942970787e-06
OBL,1,17,4.434353391794046e-07
OTH,1,17,8.93234588310342e-06
WBI,1,18,0.0022131156867503986
WHO,1,18,0.0005394000944801802
MIX,1,18,7.871411316098599e-05
IND,1,18,0.00023692461949148007
PAK,1,18,0.00020374158122572438
BAN,1,18,0.00012611813189025592
CHI,1,18,0.0003809475162617438
OAS,1,18,0.00019514096498037542
BLA,1,18,9.267161353769536e-05
BLC,1,18,1.979820363123585e-05
OBL,1,18,7.825669746648696e-06
OTH,1,18,0.00015763648669355154
WBI,1,19,0.0012954823532197498
WHO,1,19,0.0003157463967688852
MIX,1,19,4.607655404545509e-05
IND,1,19,0.00013868758214135421
PAK,1,19,0.00011926336461993619
BAN,1,19,7.382524793575976e-05
CHI,1,19,0.00022299366805565439
OAS,1,19,0.0001142288575494876
BLA,1,19,5.424679816840698e-05
BLC,1,19,1.1589192369503872e-05
OBL,1,19,4.580879851696811e-06
OTH,1,19,9.227501660110326e-05
WBI,1,20,0.0033940983370340564
WHO,1,20,0.0008272396127467621
MIX,1,20,0.00012071824450040306
IND,1,20,0.00036335446078700787
PAK,1,20,0.00031246399190197946
BAN,1,20,0.00019341842104381429
CHI,1,20,0.0005842321479993479
OAS,1,20,0.0002992738376454387
BLA,1,20,0.00014212387146394497
BLC,1,20,3.0363098695354295e-05
OBL,1,20,1.200167385387739e-05
OTH,1,20,0.0002417558831405166
WBI,1,21,0.01230708235558755
WHO,1,21,0.0029995907693044117
MIX,1,21,0.0004377272634318236
IND,1,21,0.0013175320303428649
PAK,1,21,0.0011330019638893989
BAN,1,21,0.0007013398553897183
CHI,1,21,0.0021184398465287214
OAS,1,21,0.0010851741467201362
BLA,1,21,0.0005153445825998665
BLC,1,21,0.00011009732751028688
OBL,1,21,4.351835859111967e-05
OTH,1,21,0.0008766126577104769
WBI,1,22,0.02186126471058317
WHO,1,22,0.0053282204454749476
MIX,1,22,0.0007775418495170541
IND,1,22,0.002340352948635357
PAK,1,22,0.0020125692779614265
BAN,1,22,0.0012458010589159435
CHI,1,22,0.0037630181484391797
OAS,1,22,0.0019276119711476144
BLA,1,22,0.0009154147190918679
BLC,1,22,0.00019556762123537768
OBL,1,22,7.730234749738379e-05
OTH,1,22,0.0015571409051436203
WBI,1,23,0.025207927456400884
WHO,1,23,0.006143898637127897
MIX,1,23,0.0008965729474678126
IND,1,23,0.0026986292025005213
PAK,1,23,0.0023206663032295937
BAN,1,23,0.001436516282749983
CHI,1,23,0.004339085124249617
OAS,1,23,0.0022227031864837914
BLA,1,23,0.0010555522810269191
BLC,1,23,0.00022550636818992993
OBL,1,23,8.913628711426732e-05
OTH,1,23,0.001795518031363139
WBI,1,24,0.03292684314433523
WHO,1,24,0.00802522091787585
MIX,1,24,0.0011711124153219812
IND,1,24,0.0035249760460927507
PAK,1,24,0.003031277184090049
BAN,1,24,0.001876391718367217
CHI,1,24,0.0056677557297478915
OAS,1,24,0.0029033167960494845
BLA,1,24,0.0013787727867803476
BLC,1,24,0.0002945586393915572
OBL,1,24,0.00011643069623062725
OTH,1,24,0.0023453233386113805
WBI,1,25,0.03859457843967163
WHO,1,25,0.009406611403739702
MIX,1,25,0.0013726973392708536
IND,1,25,0.004131734217961177
PAK,1,25,0.0035530544043022743
BAN,1,25,0.0021993771780861654
CHI,1,25,0.006643353027491374
OAS,1,25,0.0034030680478285
BLA,1,25,0.0016161025287671242
BLC,1,25,0.00034526135600813657
OBL,1,25,0.0001364720455818009
OTH,1,25,0.0027490265362412024
WBI,1,26,0.03940425491043394
WHO,1,26,0.009603952901720314
MIX,1,26,0.0014014951855492585
IND,1,26,0.004218413956799528
PAK,1,26,0.0036275940071897263
BAN,1,26,0.002245517958046019
CHI,1,26,0.006782724070026122
OAS,1,26,0.003474461083796926
BLA,1,26,0.0016500067776223815
BLC,1,26,0.0003525046012390766
OBL,1,26,0.00013933509548911106
OTH,1,26,0.0028066984216168884
WBI,1,27,0.03586866765477172
WHO,1,27,0.008742228360538526
MIX,1,27,0.0012757445901335402
IND,1,27,0.0038399124305387427
PAK,1,27,0.003302104407914487
BAN,1,27,0.002044036552221345
CHI,1,27,0.0061741371842909615
OAS,1,27,0.0031627114934014555
BLA,1,27,0.0015019582242877703
BLC,1,27,0.0003208757637306391
OBL,1,27,0.0001268331108938554
OTH,1,27,0.002554864522143051
WBI,1,28,0.0275020107902275
WHO,1,28,0.006703032881406134
MIX,1,28,0.0009781668452566404
IND,1,28,0.0029442217958758365
PAK,1,28,0.0025318618447440692
BAN,1,28,0.0015672484926362307
CHI,1,28,0.00473396974476484
OAS,1,28,0.002424983455061003
BLA,1,28,0.0011516143194501421
BLC,1,28,0.00024602889634426
OBL,1,28,9.724826185164685e-05
OTH,1,28,0.00195892170659426
WBI,1,29,0.027960827456992816
WHO,1,29,0.006814859730261768
MIX,1,29,0.000994485624814406
IND,1,29,0.0029933403145508946
PAK,1,29,0.002574100953046959
BAN,1,29,0.0015933949346134757
CHI,1,29,0.004812946668867886
OAS,1,29,0.002465439508776449
BLA,1,29,0.0011708267271347877
BLC,1,29,0.0002501334019751254
OBL,1,29,9.887065679912277e-05
OTH,1,29,0.001991602441640479
WBI,1,30,0.02221212451458023
WHO,1,30,0.005413735094599851
MIX,1,30,0.0007900209162377
IND,1,30,0.002377914168798632
PAK,1,30,0.002044869772545989
BAN,1,30,0.0012657953968985404
CHI,1,30,0.0038234122668709177
OAS,1,30,0.0019585489534006003
BLA,1,30,0.0009301065602624793
BLC,1,30,0.0001987063608354517
OBL,1,30,7.854300245721805e-05
OTH,1,30,0.0015821320554730864
WBI,1,31,0.02307577941672671
WHO,1,31,0.005624232692445772
MIX,1,31,0.0008207386189346711
IND,1,31,0.002470372556892869
PAK,1,31,0.00212437868229262
BAN,1,31,0.0013150122288557214
CHI,1,31,0.003972074712241349
OAS,1,31,0.0020347015251002596
BLA,1,31,0.0009662710923747536
BLC,1,31,0.00020643248908178805
OBL,1,31,8.159692235834933e-05
OTH,1,31,0.001643648733207154
WBI,1,32,0.018163742160768524
WHO,1,32,0.004427027604697081
MIX,1,32,0.0006460316848456497
IND,1,32,0.0019445154746069039
PAK,1,32,0.001672171758108692
BAN,1,32,0.0010350914970992948
CHI,1,32,0.0031265570541969914
OAS,1,32,0.0016015837735584503
BLA,1,32,0.0007605853159862049
BLC,1,32,0.00016249013468075258
OBL,1,32,6.422775292066534e-05
OTH,1,32,0.0012937726285946352
WBI,1,33,0.01595062647401816
WHO,1,33,0.0038876275102169063
MIX,1,33,0.0005673175716846657
IND,1,33,0.0017075908551154259
PAK,1,33,0.0014684301768829672
BAN,1,33,0.0009089733652090339
CHI,1,33,0.0027456095379352497
OAS,1,33,0.001406442808578067
BLA,1,33,0.0006679137024485078
BLC,1,33,0.0001426919310495169
OBL,1,33,5.64020831740169e-05
OTH,1,33,0.0011361361419010855
WBI,1,34,0.011119556865136096
WHO,1,34,0.0027101565722662635
MIX,1,34,0.00039549042222348927
IND,1,34,0.001190401746713292
PAK,1,34,0.0010236772129877893
BAN,1,34,0.0006336667114486066
CHI,1,34,0.0019140289841443725
OAS,1,34,0.000980464360633104
BLA,1,34,0.0004656183509454933
BLC,1,34,9.947390117157523e-05
OBL,1,34,3.931921872706424e-05
OTH,1,34,0.0007920272258261372
WBI,1,35,0.00887945196269365
WHO,1,35,0.002164178427853406
MIX,1,35,0.0003158163808532233
IND,1,35,0.0009505878025938625
PAK,1,35,0.0008174509783324814
BAN,1,35,0.0005060105535596854
CHI,1,35,0.001528435766464803
OAS,1,35,0.0007829436277871126
BLA,1,35,0.0003718165957792894
BLC,1,35,7.943425603264142e-05
OBL,1,35,3.139811398350516e-05
OTH,1,35,0.0006324683429533993
WBI,1,36,0.0011605362747593557
WHO,1,36,0.00028285614710546063
MIX,1,36,4.127691299905354e-05
IND,1,36,0.00012424095900163016
PAK,1,36,0.0001068400974720263
BAN,1,36,6.613511794245116e-05
CHI,1,36,0.00019976516096652456
OAS,1,36,0.00010233001822141632
BLA,1,36,4.859609002586459e-05
BLC,1,36,1.0381984831013878e-05
OBL,1,36,4.103704867145053e-06
OTH,1,36,8.266303570515509e-05
WBI,1,37,0.002944278075499422
WHO,1,37,0.0007176054472020113
MIX,1,37,0.00010471944101239828
IND,1,37,0.00031519905032125996
PAK,1,37,0.00027105310140894623
BAN,1,37,0.00016778465439945352
CHI,1,37,0.0005068037910355792
OAS,1,37,0.00025961103988520064
BLA,1,37,0.00012328817765547048
BLC,1,37,2.6339073567054283e-05
OBL,1,37,1.0411090572038196e-05
OTH,1,37,0.00020971594682068942
WBI,1,38,0.0028878460790523522
WHO,1,38,0.0007038513427973101
MIX,1,38,0.00010271231839299371
IND,1,38,0.0003091577351901023
PAK,1,38,0.00026585791696527453
BAN,1,38,0.00016456878185679713
CHI,1,38,0.0004970900517073973
OAS,1,38,0.0002546351616207341
BLA,1,38,0.00012092515425040735
BLC,1,38,2.5834241323685746e-05
OBL,1,38,1.0211544669407457e-05
OTH,1,38,0.00020569639117329236
WBI,1,39,0.0006747303923019533
WHO,1,39,0.00016445124831712798
MIX,1,39,2.3998205232007844e-05
IND,1,39,7.223311569862218e-05
PAK,1,39,6.211633573955013e-05
BAN,1,39,3.8450649966541424e-05
CHI,1,39,0.0001161425354456535
OAS,1,39,5.9494196640358344e-05
BLA,1,39,2.825354071271197e-05
BLC,1,39,6.036037692449939e-06
OBL,1,39,2.3858749227587545e-06
OTH,1,39,4.805990447974132e-05
WBI,1,40,0.0021051588239820855
WHO,1,40,0.0005130878947494391
MIX,1,40,7.48744003238649e-05
IND,1,40,0.00022536732097970045
PAK,1,40,0.00019380296750739625
BAN,1,40,0.00011996602789560894
CHI,1,40,0.0003623647105904389
OAS,1,40,0.00018562189351791817
BLA,1,40,8.815104702366166e-05
BLC,1,40,1.883243760044382e-05
OBL,1,40,7.4439297590073e-06
OTH,1,40,0.00014994690197679285
WBI,1,41,0.000755698039378185
WHO,1,41,0.00018418539811518363
MIX,1,41,2.6877989859848843e-05
IND,1,41,8.090108958245673e-05
PAK,1,41,6.957029602829657e-05
BAN,1,41,4.3064727962526406e-05
CHI,1,41,0.00013007963969913192
OAS,1,41,6.663350023720135e-05
BLA,1,41,3.16439655982374e-05
BLC,1,41,6.760362215543965e-06
OBL,1,41,2.672179913489808e-06
OTH,1,41,5.382709301731029e-05
WBI,1,42,0.0018082774513692279
WHO,1,42,0.0004407293454899032
MIX,1,42,6.4315190021781e-05
IND,1,42,0.00019358475007230725
PAK,1,42,0.00016647177978199412
BAN,1,42,0.00010304774191033074
CHI,1,42,0.0003112619949943517
OAS,1,42,0.00015944444699616042
BLA,1,42,7.571948911006793e-05
BLC,1,42,1.6176581015765873e-05
OBL,1,42,6.394144792993489e-06
OTH,1,42,0.000128800544005707
WBI,1,43,0.0006207519609177967
WHO,1,43,0.00015129514845175782
MIX,1,43,2.2078348813447244e-05
IND,1,43,6.645446644273205e-05
PAK,1,43,5.714702888038613e-05
BAN,1,43,3.5374597969218165e-05
CHI,1,43,0.00010685113261000147
OAS,1,43,5.473466090912972e-05
BLA,1,43,2.5993257455695004e-05
BLC,1,43,5.553154677053948e-06
OBL,1,43,2.195004928938056e-06
OTH,1,43,4.421511212136206e-05
WBI,1,44,0.0014034392159880567
WHO,1,44,0.00034205859649962623
MIX,1,44,4.991626688257636e-05
IND,1,44,0.0001502448806531339
PAK,1,44,0.00012920197833826436
BAN,1,44,7.997735193040616e-05
CHI,1,44,0.00024157647372695972
OAS,1,44,0.00012374792901194545
BLA,1,44,5.876736468244086e-05
BLC,1,44,1.2554958400295839e-05
OBL,1,44,4.962619839338208e-06
OTH,1,44,9.99646013178619e-05
WBI,1,45,0.0027259107848998823
WHO,1,45,0.0006643830432012
MIX,1,45,9.695274913731146e-05
IND,1,45,0.00029182178742243313
PAK,1,45,0.0002509499963877823
BAN,1,45,0.0001553406258648275
CHI,1,45,0.00046921584320044034
OAS,1,45,0.00024035655442704762
BLA,1,45,0.00011414430447935648
BLC,1,45,2.438559227749773e-05
OBL,1,45,9.638934687945362e-06
