NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,1,1,0.0002853198356664322
WHO,1,1,0.0007022120307852568
MIX,1,1,0.00024490790288001944
IND,1,1,0.00011850382397420348
PAK,1,1,0.00018170586342711116
BAN,1,1,8.690280424774874e-05
CHI,1,1,8.690280424774874e-05
OAS,1,1,0.0005293170804181072
BLA,1,1,0.0005518024213773151
BLC,1,1,5.8884733013428676e-05
OBL,1,1,8.453527959124782e-05
OTH,1,1,0.0011534372200155776
WBI,1,2,0.00041023326995446614
WHO,1,2,0.0010096414675045116
MIX,1,2,0.00035212893488982755
IND,1,2,0.00017038496849507799
PAK,1,2,0.0002612569516924525
BAN,1,2,0.00012494897689639047
CHI,1,2,0.00012494897689638984
OAS,1,2,0.0007610528592780155
BLA,1,2,0.0007933823148386236
BLC,1,2,8.46645537912614e-05
OBL,1,2,0.00012154494654124293
OTH,1,2,0.0016584136933520913
WBI,1,3,0.0003855673454951788
WHO,1,3,0.0009489351767368342
MIX,1,3,0.0003309566255135403
IND,1,3,0.00016014030266784196
PAK,1,3,0.00024554846409069144
BAN,1,3,0.00011743622195641724
CHI,1,3,0.00011743622195641724
OAS,1,3,0.0007152933519163621
BLA,1,3,0.0007456789478071873
BLC,1,3,7.957396353166063e-05
OBL,1,3,0.0001142368643124972
OTH,1,3,0.001558698945966994
WBI,1,4,0.0007534074567147149
WHO,1,4,0.0018542411499455492
MIX,1,4,0.0006466968544517443
IND,1,4,0.00031291783279923155
PAK,1,4,0.0004798073436254888
BAN,1,4,0.00022947307738610295
CHI,1,4,0.00022947307738610295
OAS,1,4,0.0013976996531699
BLA,1,4,0.0014570738060600162
BLC,1,4,0.0001554893540273823
OBL,1,4,0.0002232214590014319
OTH,1,4,0.003045733572579192
WBI,1,5,0.0004165900054775491
WHO,1,5,0.0010252862829110705
MIX,1,5,0.0003575853195203766
IND,1,5,0.00017302515460663432
PAK,1,5,0.00026530523706350513
BAN,1,5,0.00012688511337819827
CHI,1,5,0.00012688511337819827
OAS,1,5,0.0007728456905763
BLA,1,5,0.0008056761045273039
BLC,1,5,8.597646634455292e-05
OBL,1,5,0.0001234283361537331
OTH,1,5,0.0016841115048379087
WBI,1,6,0.0003301697383838019
WHO,1,6,0.0008125939157114266
MIX,1,6,0.00028340538621561773
IND,1,6,0.00013713163849142762
PAK,1,6,0.00021026851235352292
BAN,1,6,0.00010056320156038053
CHI,1,6,0.00010056320156038053
OAS,1,6,0.0006125213185950464
BLA,1,6,0.0006385411679498333
BLC,1,6,6.814092279435305e-05
OBL,1,6,9.78235217388627e-05
OTH,1,6,0.0013347479479832334
WBI,1,7,0.0002127046522648404
WHO,1,7,0.0005234959058331563
MIX,1,7,0.00018257773840830362
IND,1,7,8.834406697175932e-05
PAK,1,7,0.00013546090269003116
BAN,1,7,6.478564911262343e-05
CHI,1,7,6.478564911262404e-05
OAS,1,7,0.00039460349914052605
BLA,1,7,0.00041136621954029586
BLC,1,7,4.3898303214965965e-05
OBL,1,7,6.30206701457274e-05
OTH,1,7,0.0008598822518584635
WBI,1,8,0.00016225959122922117
WHO,1,8,0.0003993435535434195
MIX,1,8,0.00013927757990361478
IND,1,8,6.739237737271689e-05
PAK,1,8,0.00010333497863816554
BAN,1,8,4.942107673999233e-05
CHI,1,8,4.9421076739992385e-05
OAS,1,8,0.0003010192855981352
BLA,1,8,0.00031380655720218936
BLC,1,8,3.348737631957372e-05
OBL,1,8,4.807468039817592e-05
OTH,1,8,0.000655952473094446
WBI,1,9,0.0002670164662768337
WHO,1,9,0.000657164878142463
MIX,1,9,0.00022919697341598614
IND,1,9,0.00011090176133031607
PAK,1,9,0.00017004936737315105
