NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,1,1,0.0
WHO,1,1,0.0
MIX,1,1,0.0
IND,1,1,0.0
PAK,1,1,0.0
BAN,1,1,0.0
CHI,1,1,0.0
OAS,1,1,0.0
BLA,1,1,0.0
BLC,1,1,0.0
OBL,1,1,0.0
OTH,1,1,0.0
WBI,1,2,0.0
WHO,1,2,0.0
MIX,1,2,0.0
IND,1,2,0.0
PAK,1,2,0.0
BAN,1,2,0.0
CHI,1,2,0.0
OAS,1,2,0.0
BLA,1,2,0.0
BLC,1,2,0.0
OBL,1,2,0.0
OTH,1,2,0.0
WBI,1,3,0.0
WHO,1,3,0.0
MIX,1,3,0.0
IND,1,3,0.0
PAK,1,3,0.0
BAN,1,3,0.0
CHI,1,3,0.0
OAS,1,3,0.0
BLA,1,3,0.0
BLC,1,3,0.0
OBL,1,3,0.0
OTH,1,3,0.0
WBI,1,4,0.0
WHO,1,4,0.0
MIX,1,4,0.0
IND,1,4,0.0
PAK,1,4,0.0
BAN,1,4,0.0
CHI,1,4,0.0
OAS,1,4,0.0
BLA,1,4,0.0
BLC,1,4,0.0
OBL,1,4,0.0
OTH,1,4,0.0
WBI,1,5,0.0
WHO,1,5,0.0
MIX,1,5,0.0
IND,1,5,0.0
PAK,1,5,0.0
BAN,1,5,0.0
CHI,1,5,0.0
OAS,1,5,0.0
BLA,1,5,0.0
BLC,1,5,0.0
OBL,1,5,0.0
OTH,1,5,0.0
WBI,1,6,0.0
WHO,1,6,0.0
MIX,1,6,0.0
IND,1,6,0.0
PAK,1,6,0.0
BAN,1,6,0.0
CHI,1,6,0.0
OAS,1,6,0.0
BLA,1,6,0.0
BLC,1,6,0.0
OBL,1,6,0.0
OTH,1,6,0.0
WBI,1,7,0.0
WHO,1,7,0.0
MIX,1,7,0.0
IND,1,7,0.0
PAK,1,7,0.0
BAN,1,7,0.0
CHI,1,7,0.0
OAS,1,7,0.0
BLA,1,7,0.0
BLC,1,7,0.0
OBL,1,7,0.0
OTH,1,7,0.0
WBI,1,8,0.0
WHO,1,8,0.0
MIX,1,8,0.0
IND,1,8,0.0
PAK,1,8,0.0
BAN,1,8,0.0
CHI,1,8,0.0
OAS,1,8,0.0
BLA,1,8,0.0
BLC,1,8,0.0
OBL,1,8,0.0
OTH,1,8,0.0
WBI,1,9,0.0
WHO,1,9,0.0
MIX,1,9,0.0
IND,1,9,0.0
PAK,1,9,0.0
BAN,1,9,0.0
CHI,1,9,0.0
OAS,1,9,0.0
BLA,1,9,0.0
BLC,1,9,0.0
OBL,1,9,0.0
OTH,1,9,0.0
WBI,1,10,0.0
WHO,1,10,0.0
MIX,1,10,0.0
IND,1,10,0.0
PAK,1,10,0.0
