NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,1,1,8.219715813253545
WHO,1,1,7.976491009863319
MIX,1,1,10.460582029593507
IND,1,1,13.80468364073242
PAK,1,1,14.046867420310843
BAN,1,1,17.21820071964252
CHI,1,1,29.531930057107164
OAS,1,1,20.340980668391595
BLA,1,1,10.921006041078822
BLC,1,1,0.6537629538138285
OBL,1,1,11.992511030093947
OTH,1,1,24.48367246604271
WBI,1,2,7.9490912631366
WHO,1,2,9.560262996191673
MIX,1,2,8.50903715103052
IND,1,2,14.958138024212868
PAK,1,2,13.545177224925553
BAN,1,2,17.108976501307897
CHI,1,2,30.873101854332372
OAS,1,2,21.801953485879373
BLA,1,2,10.956359209727742
BLC,1,2,0.28607334348414026
OBL,1,2,10.10363578500165
OTH,1,2,24.92685712320453
WBI,1,3,7.665391453943377
WHO,1,3,9.896097277880115
MIX,1,3,7.978406493677043
IND,1,3,14.288718072269488
PAK,1,3,13.216963237539531
BAN,1,3,16.78413543107212
CHI,1,3,32.93466212932695
OAS,1,3,22.247719882094476
BLA,1,3,10.89443911340155
BLC,1,3,0.23027446717136765
OBL,1,3,9.09221869040394
OTH,1,3,24.58119557673265
WBI,1,4,5.839977020418739
WHO,1,4,8.289922459121707
MIX,1,4,5.708016842034279
IND,1,4,11.423154286941307
PAK,1,4,10.315171823560522
BAN,1,4,12.301070487913087
CHI,1,4,25.848454683319673
OAS,1,4,16.81782296162214
BLA,1,4,7.973659425095208
BLC,1,4,0.3139727816405266
OBL,1,4,6.1307141505797675
OTH,1,4,17.94425236694812
WBI,1,5,5.240888637200932
WHO,1,5,8.297917521996373
MIX,1,5,5.207409311413269
IND,1,5,10.393831582780539
PAK,1,5,9.628012825863975
BAN,1,5,11.311598175268236
CHI,1,5,25.543642911223035
OAS,1,5,15.367510227967248
BLA,1,5,7.51061203360414
BLC,1,5,0.2848241149099737
OBL,1,5,5.848221929008238
OTH,1,5,16.249090832756586
WBI,1,6,4.537906077564943
WHO,1,6,7.709988914041124
MIX,1,6,4.793248398124586
IND,1,6,9.34522911762514
PAK,1,6,8.212595210380798
BAN,1,6,9.396239284403608
CHI,1,6,24.90482905934673
OAS,1,6,13.165536661236338
BLA,1,6,6.459552752252876
BLC,1,6,0.2057063052127588
OBL,1,6,4.888606179285966
OTH,1,6,13.563957294490525
WBI,1,7,3.7643421034885423
WHO,1,7,6.898698237024892
MIX,1,7,4.139110675738507
IND,1,7,7.85918844674908
PAK,1,7,6.8799598084123925
BAN,1,7,7.7571681131921455
CHI,1,7,21.628435636927644
OAS,1,7,11.108140481488975
BLA,1,7,5.643598288559758
BLC,1,7,0.251511352932199
OBL,1,7,4.005859627827409
OTH,1,7,12.25776389734198
WBI,1,8,3.335440293024692
WHO,1,8,6.320805098615446
MIX,1,8,3.880936770410753
IND,1,8,7.297618561708744
PAK,1,8,6.40687694737552
BAN,1,8,6.954705318100023
CHI,1,8,21.063701039499417
OAS,1,8,10.294851038754079
BLA,1,8,5.470288644370383
BLC,1,8,0.24901289578386593
OBL,1,8,3.6602397223079954
OTH,1,8,11.203331698840467
WBI,1,9,3.4228862932163513
WHO,1,9,6.832197635926758
MIX,1,9,4.05582877079407
IND,1,9,7.6539818329659886
PAK,1,9,6.4433960626936555
BAN,1,9,7.130138650865482
CHI,1,9,21.002946889842452
OAS,1,9,11.143035599660694
BLA,1,9,5.756445269759469
BLC,1,9,0.3193861054619149
OBL,1,9,3.7643421034885423
OTH,1,9,12.468675321613766
WBI,1,10,3.210517435608037
WHO,1,10,6.612749816398169
MIX,1,10,4.01002372307463
IND,1,10,7.343756737047963
PAK,1,10,6.24993219750773
BAN,1,10,7.1423810908923135
CHI,1,10,20.39528047041537
OAS,1,10,10.919048916312631
BLA,1,10,5.596835498933458
BLC,1,10,0.2531769910310877
OBL,1,10,3.647747436566329
OTH,1,10,11.409079645005697
WBI,1,11,3.439542674205238
WHO,1,11,7.713195267381484
MIX,1,11,4.494183077469114
IND,1,11,8.386904237429505
PAK,1,11,7.37565370664168
BAN,1,11,8.308452682971843
CHI,1,11,20.143186144148558
OAS,1,11,12.478460945444738
BLA,1,11,6.360822053941247
BLC,1,11,0.24151752433886664
OBL,1,11,4.5369483356580815
OTH,1,11,13.724191679603623
WBI,1,12,2.5859031485247614
WHO,1,12,5.863754004280376
MIX,1,12,3.4187221979691285
IND,1,12,6.372939571110661
PAK,1,12,5.661920307647533
BAN,1,12,6.350037047250941
CHI,1,12,15.922459201564504
OAS,1,12,8.679515210451783
BLA,1,12,4.705760756980454
BLC,1,12,0.21361808618248027
OBL,1,12,3.439542674205238
OTH,1,12,10.141820538418678
WBI,1,13,2.4942930530858813
WHO,1,13,6.141665721079962
MIX,1,13,3.5561373411274504
IND,1,13,6.237731398433369
PAK,1,13,5.8465979318618215
BAN,1,13,6.433652079815156
CHI,1,13,14.644540011144594
OAS,1,13,9.527200079928733
BLA,1,13,5.092688487352307
BLC,1,13,0.27233182916830817
OBL,1,13,3.651911531813552
OTH,1,13,11.071746289028258
WBI,1,14,2.2652678144886798
WHO,1,14,5.49556470252102
MIX,1,14,3.064774101955273
IND,1,14,5.725006350642944
PAK,1,14,5.413365462340862
BAN,1,14,5.6122010103957045
CHI,1,14,12.187765456236184
OAS,1,14,7.828582346682
BLA,1,14,4.279898736047077
BLC,1,14,0.19029915279803797
OBL,1,14,3.031461339977498
OTH,1,14,9.649666121149528
WBI,1,15,2.5067853388275463
WHO,1,15,6.287284131875308
MIX,1,15,3.551973245880228
IND,1,15,6.364486457758801
PAK,1,15,6.220325480299982
BAN,1,15,6.54766500768409
