NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,1,1,0.0630412431698834
WHO,1,1,0.0871396081664867
MIX,1,1,0.11533136735207901
IND,1,1,0.0977957656088413
PAK,1,1,0.0375764878621372
BAN,1,1,0.016616644397496
CHI,1,1,0.0341330805459342
OAS,1,1,0.0922500148264372
BLA,1,1,0.12436588134980099
BLC,1,1,0.7762480895211491
OBL,1,1,0.26829705403602
OTH,1,1,0.10490336945421198
WBI,1,2,0.0590046243013371
WHO,1,2,0.13373494067052302
MIX,1,2,0.0933778419345184
IND,1,2,0.123104190327121
PAK,1,2,0.0368746960569714
BAN,1,2,0.0152789456542758
CHI,1,2,0.0249631995100054
OAS,1,2,0.0993723593501078
BLA,1,2,0.11381779975547199
BLC,1,2,0.5997702387765981
OBL,1,2,0.5269417830791451
OTH,1,2,0.0895850736242253
WBI,1,3,0.0554502394341149
WHO,1,3,0.0911844240652816
MIX,1,3,0.0793511731209926
IND,1,3,0.0989080708166461
PAK,1,3,0.0319439265449472
BAN,1,3,0.0130168704475957
CHI,1,3,0.0263799817310994
OAS,1,3,0.130283596096952
BLA,1,3,0.18093650708735398
BLC,1,3,0.29419474359953196
OBL,1,3,0.12792935186430301
OTH,1,3,0.0765846302824523
WBI,1,4,0.0505036219058974
WHO,1,4,0.11143433194602301
MIX,1,4,0.0758635246002149
IND,1,4,0.0745873735714936
PAK,1,4,0.0322620953659613
BAN,1,4,0.0129465109319447
CHI,1,4,0.0207677032977035
OAS,1,4,0.0661527953581783
BLA,1,4,0.10181346594454199
BLC,1,4,0.123281044377862
OBL,1,4,0.25848479073631
OTH,1,4,0.0819510221505724
WBI,1,5,0.035834595349848
WHO,1,5,0.0919309782987721
MIX,1,5,0.065307503149906
IND,1,5,0.0664459705398372
PAK,1,5,0.0204176760135731
BAN,1,5,0.00836843454510887
CHI,1,5,0.011512856309139998
OAS,1,5,0.0577242189061808
BLA,1,5,0.17015519333547
BLC,1,5,0.0698067420082829
OBL,1,5,0.170387932488379
OTH,1,5,0.0522106250777943
WBI,1,6,0.0373378537319795
WHO,1,6,0.0932891596196293
MIX,1,6,0.0544561513445756
IND,1,6,0.0569223289712329
PAK,1,6,0.0222163503825052
BAN,1,6,0.0077830356649015294
CHI,1,6,0.0242352499326702
OAS,1,6,0.0559502701499226
BLA,1,6,0.0936038379476611
BLC,1,6,0.0915885047950121
OBL,1,6,0.11579472780706199
OTH,1,6,0.03967273730331
WBI,1,7,0.0299661363469491
WHO,1,7,0.0682568499206029
MIX,1,7,0.051639958090735
IND,1,7,0.0596757790597973
PAK,1,7,0.0184011785256416
BAN,1,7,0.00825944313001268
CHI,1,7,0.0170905643299279
OAS,1,7,0.0579471324626495
BLA,1,7,0.0813810423151852
BLC,1,7,0.0556563591529906
OBL,1,7,0.159175264838727
OTH,1,7,0.0357395554138402
WBI,1,8,0.0283185584321713
WHO,1,8,0.075375850369407
MIX,1,8,0.0531269326778759
IND,1,8,0.0684187392030877
PAK,1,8,0.0175135710500729
BAN,1,8,0.00672497448478505
CHI,1,8,0.0204342012770694
OAS,1,8,0.0448309893537402
BLA,1,8,0.0888798075137772
BLC,1,8,0.0532400989343228
OBL,1,8,0.398367382669005
OTH,1,8,0.0462377046069248
WBI,1,9,0.0272466609172465
WHO,1,9,0.0799848444761079
MIX,1,9,0.0563536307470392
IND,1,9,0.0651415392050823
PAK,1,9,0.0187186536659677
BAN,1,9,0.00847678544290866
CHI,1,9,0.018154321850996
OAS,1,9,0.0676456708437564
BLA,1,9,0.0774815056511663
BLC,1,9,0.0536673002499434
OBL,1,9,0.440662312268388
OTH,1,9,0.0490496540309788
WBI,1,10,0.0244013221187462
WHO,1,10,0.0617922030479999
MIX,1,10,0.0462216275730341
IND,1,10,0.0801877270132555
PAK,1,10,0.0167622563161654
BAN,1,10,0.0078746760446549
CHI,1,10,0.0145770237597988
OAS,1,10,0.0370928770729838
BLA,1,10,0.0998607220008216
BLC,1,10,0.0576623178255601
OBL,1,10,0.831423237635165
OTH,1,10,0.0508635312649492
WBI,1,11,0.0204558681495362
WHO,1,11,0.0654331573469329
MIX,1,11,0.0417476986181643
IND,1,11,0.05970543714064701
PAK,1,11,0.0125875518194909
BAN,1,11,0.007529083177799059
CHI,1,11,0.0121021499836907
OAS,1,11,0.0393194511537024
BLA,1,11,0.0617316710887607
BLC,1,11,0.0511158264022161
OBL,1,11,0.119218031511312
OTH,1,11,0.0365512357821991
WBI,1,12,0.0217687051536391
WHO,1,12,0.071212683317098
MIX,1,12,0.0488748244435977
IND,1,12,0.0555040043585403
PAK,1,12,0.0179394748798528
BAN,1,12,0.0060030953674364606
CHI,1,12,0.0127607280380695
OAS,1,12,0.0460910704325911
BLA,1,12,0.0677444465449264
BLC,1,12,0.0323158277130376
OBL,1,12,0.189287261130562
OTH,1,12,0.0492888292206431
WBI,1,13,0.0194588995899003
WHO,1,13,0.0653948713000037
MIX,1,13,0.0524499635470513
IND,1,13,0.053533696047503
PAK,1,13,0.0157741366736518
BAN,1,13,0.0068662915813105
CHI,1,13,0.0151011883790825
OAS,1,13,0.0300678145278248
BLA,1,13,0.0958215722424996
BLC,1,13,0.582593972188103
OBL,1,13,0.46529733222138503
OTH,1,13,0.0715324209183966
WBI,1,14,0.0204432504167274
WHO,1,14,0.0501756546909402
MIX,1,14,0.0545242422011221
IND,1,14,0.074598525491152
PAK,1,14,0.0160911961484101
BAN,1,14,0.00590316326248408
CHI,1,14,0.008628301856311991
OAS,1,14,0.0477388346654942
BLA,1,14,0.0666858998713831
BLC,1,14,0.0659679441258962
OBL,1,14,0.275924709368577
OTH,1,14,0.0324842281426654
WBI,1,15,0.0174179539053845
WHO,1,15,0.0436896787272304
MIX,1,15,0.0567609630576681
IND,1,15,0.0393129202247092
PAK,1,15,0.0160010457732367
BAN,1,15,0.00497218519775796
CHI,1,15,0.0102172589343254
OAS,1,15,0.0539991539614727
BLA,1,15,0.0994782811668038
BLC,1,15,0.0833076159946411
OBL,1,15,0.566708052057593
OTH,1,15,0.0582472544321078
WBI,1,16,0.0171898434982202
WHO,1,16,0.018181545687834
MIX,1,16,0.0129343181083907
IND,1,16,0.0476332318607913
PAK,1,16,0.0106250031320989
BAN,1,16,0.005679371138403579
CHI,1,16,0.0774378876939581
OAS,1,16,0.0810171559012198
BLA,1,16,0.0314364545963038
BLC,1,16,0.00113246295178766
OBL,1,16,0.00608206355277985
OTH,1,16,0.0282093952247785
WBI,1,17,0.0185649623235937
WHO,1,17,0.0257702308034055
MIX,1,17,0.0201781692064294
IND,1,17,0.0497219801660465
PAK,1,17,0.0141862476418652
BAN,1,17,0.00464711019944226
CHI,1,17,0.0644629887994075
OAS,1,17,0.0344010929542987
BLA,1,17,0.0169360508229726
BLC,1,17,0.0010015884510349
OBL,1,17,0.00559628229525531
OTH,1,17,0.0201417364663233
WBI,1,18,0.0183105996778622
WHO,1,18,0.027600572065582998
MIX,1,18,0.0236626861958353
IND,1,18,0.0386595551093683
PAK,1,18,0.0199738949682328
BAN,1,18,0.00605848153796793
CHI,1,18,0.0524639309854322
OAS,1,18,0.0413763633785062
BLA,1,18,0.01494564631601
BLC,1,18,0.0019497882137795698
OBL,1,18,0.034385949103377
OTH,1,18,0.0224063029809398
WBI,1,19,0.0334120179514603
WHO,1,19,0.0359881521942349
MIX,1,19,0.0296719043809261
IND,1,19,0.0535639313762994
PAK,1,19,0.0385521777933736
BAN,1,19,0.0171698153921494
CHI,1,19,0.101682846901309
OAS,1,19,0.14775845748793398
BLA,1,19,0.0309570282044829
BLC,1,19,0.00126529393104774
OBL,1,19,0.0177622111869684
